Komoditas;Tahun;Bulan;Harga
Telur Ayam Ras (Rp/Kg);2020;November;Rp20.850
GKP Tingkat Petani (Rp/Kg);2020;Desember;Rp4.601
GKP Tingkat Penggilingan (Rp/Kg);2020;Desember;Rp4.826
GKG Tingkat Penggilingan (Rp/Kg);2020;Desember;Rp5.547
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Desember;Rp9.218
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Desember;Rp10.365
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Desember;Rp3.696
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Desember;Rp6.540
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Desember;Rp35.140
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Desember;Rp32.903
Bawang Merah Tk. Petani (Rp/Kg);2020;Desember;Rp22.881
Sapi Hidup (Rp/kg Berat Hidup);2020;Desember;Rp49.349
Ayam Ras (Rp/Ekor Hidup);2020;Desember;Rp22.276
Telur Ayam Ras (Rp/Kg);2020;Desember;Rp22.715
GKP Tingkat Petani (Rp/Kg);2021;Januari;Rp4.521
GKP Tingkat Penggilingan (Rp/Kg);2021;Januari;Rp4.799
GKG Tingkat Penggilingan (Rp/Kg);2021;Januari;Rp5.381
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Januari;Rp9.219
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Januari;Rp10.287
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Januari;Rp3.766
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Januari;Rp6.986
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Januari;Rp35.785
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Januari;Rp46.633
Bawang Merah Tk. Petani (Rp/Kg);2021;Januari;Rp19.196
Sapi Hidup (Rp/kg Berat Hidup);2021;Januari;Rp50.467
Ayam Ras (Rp/Ekor Hidup);2021;Januari;Rp25.142
Telur Ayam Ras (Rp/Kg);2021;Januari;Rp21.550
GKP Tingkat Petani (Rp/Kg);2021;Februari;Rp4.577
GKP Tingkat Penggilingan (Rp/Kg);2021;Februari;Rp4.703
GKG Tingkat Penggilingan (Rp/Kg);2021;Februari;Rp5.437
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Februari;Rp9.254
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Februari;Rp10.227
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Februari;Rp3.743
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Februari;Rp6.569
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Februari;Rp33.250
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Februari;Rp54.257
Bawang Merah Tk. Petani (Rp/Kg);2021;Februari;Rp19.232
Sapi Hidup (Rp/kg Berat Hidup);2021;Februari;Rp50.620
Ayam Ras (Rp/Ekor Hidup);2021;Februari;Rp24.251
Telur Ayam Ras (Rp/Kg);2021;Februari;Rp20.632
GKP Tingkat Petani (Rp/Kg);2021;Maret;Rp4.401
GKP Tingkat Penggilingan (Rp/Kg);2021;Maret;Rp4.606
GKG Tingkat Penggilingan (Rp/Kg);2021;Maret;Rp5.360
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Maret;Rp9.015
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Maret;Rp10.094
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Maret;Rp3.821
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Maret;Rp7.544
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Maret;Rp36.571
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Maret;Rp65.897
Bawang Merah Tk. Petani (Rp/Kg);2021;Maret;Rp20.759
Sapi Hidup (Rp/kg Berat Hidup);2021;Maret;Rp51.243
Ayam Ras (Rp/Ekor Hidup);2021;Maret;Rp22.566
Telur Ayam Ras (Rp/Kg);2021;Maret;Rp20.241
GKP Tingkat Petani (Rp/Kg);2021;April;Rp4.266
GKP Tingkat Penggilingan (Rp/Kg);2021;April;Rp4.489
GKG Tingkat Penggilingan (Rp/Kg);2021;April;Rp5.242
Beras Medium Tk. Penggilingan (Rp/Kg);2021;April;Rp8.931
Beras Premium Tk. Penggilingan (Rp/Kg);2021;April;Rp10.011
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;April;Rp4.175
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;April;Rp7.595
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;April;Rp31.457
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;April;Rp53.037
Bawang Merah Tk. Petani (Rp/Kg);2021;April;Rp19.855
Sapi Hidup (Rp/kg Berat Hidup);2021;April;Rp51.331
Ayam Ras (Rp/Ekor Hidup);2021;April;Rp23.226
Telur Ayam Ras (Rp/Kg);2021;April;Rp21.026
GKP Tingkat Petani (Rp/Kg);2021;Mei;Rp4.241
GKP Tingkat Penggilingan (Rp/Kg);2021;Mei;Rp4.552
GKG Tingkat Penggilingan (Rp/Kg);2021;Mei;Rp5.222
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Mei;Rp8.939
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Mei;Rp10.088
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Mei;Rp4.479
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Mei;Rp8.108
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Mei;Rp22.747
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Mei;Rp35.713
Bawang Merah Tk. Petani (Rp/Kg);2021;Mei;Rp17.371
Sapi Hidup (Rp/kg Berat Hidup);2021;Mei;Rp52.006
Ayam Ras (Rp/Ekor Hidup);2021;Mei;Rp23.702
Telur Ayam Ras (Rp/Kg);2021;Mei;Rp20.758
GKP Tingkat Petani (Rp/Kg);2021;Juni;Rp4.262
GKP Tingkat Penggilingan (Rp/Kg);2021;Juni;Rp4.556
GKG Tingkat Penggilingan (Rp/Kg);2021;Juni;Rp5.190
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Juni;Rp8.910
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Juni;Rp10.034
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Juni;Rp4.515
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Juni;Rp8.154
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Juni;Rp15.655
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Juni;Rp27.815
Bawang Merah Tk. Petani (Rp/Kg);2021;Juni;Rp16.746
Sapi Hidup (Rp/kg Berat Hidup);2021;Juni;Rp51.155
Ayam Ras (Rp/Ekor Hidup);2021;Juni;Rp22.740
Telur Ayam Ras (Rp/Kg);2021;Juni;Rp20.799
GKP Tingkat Petani (Rp/Kg);2021;Juli;Rp4.219
GKP Tingkat Penggilingan (Rp/Kg);2021;Juli;Rp4.524
GKG Tingkat Penggilingan (Rp/Kg);2021;Juli;Rp5.092
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Juli;Rp8.794
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Juli;Rp9.995
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Juli;Rp4.511
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Juli;Rp8.126
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Juli;Rp18.918
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Juli;Rp34.962
Bawang Merah Tk. Petani (Rp/Kg);2021;Juli;Rp18.481
Sapi Hidup (Rp/kg Berat Hidup);2021;Juli;Rp51.752
Ayam Ras (Rp/Ekor Hidup);2021;Juli;Rp21.065
Telur Ayam Ras (Rp/Kg);2021;Juli;Rp20.280
GKP Tingkat Petani (Rp/Kg);2021;Agustus;Rp4.268
GKP Tingkat Penggilingan (Rp/Kg);2021;Agustus;Rp4.570
GKG Tingkat Penggilingan (Rp/Kg);2021;Agustus;Rp5.140
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Agustus;Rp8.810
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Agustus;Rp9.999
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Agustus;Rp4.551
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Agustus;Rp8.142
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Agustus;Rp14.769
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Agustus;Rp22.197
Bawang Merah Tk. Petani (Rp/Kg);2021;Agustus;Rp18.335
Sapi Hidup (Rp/kg Berat Hidup);2021;Agustus;Rp49.921
Ayam Ras (Rp/Ekor Hidup);2021;Agustus;Rp20.015
Telur Ayam Ras (Rp/Kg);2021;Agustus;Rp20.232
GKP Tingkat Petani (Rp/Kg);2021;September;Rp4.294
GKP Tingkat Penggilingan (Rp/Kg);2021;September;-
GKG Tingkat Penggilingan (Rp/Kg);2021;September;Rp5.127
Beras Medium Tk. Penggilingan (Rp/Kg);2021;September;Rp8.835
Beras Premium Tk. Penggilingan (Rp/Kg);2021;September;Rp9.977
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;September;Rp4.670
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;September;Rp8.126
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;September;Rp13.638
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;September;Rp15.575
Bawang Merah Tk. Petani (Rp/Kg);2021;September;Rp15.533
Sapi Hidup (Rp/kg Berat Hidup);2021;September;Rp49.122
Ayam Ras (Rp/Ekor Hidup);2021;September;Rp20.822
Telur Ayam Ras (Rp/Kg);2021;September;Rp18.630
GKP Tingkat Petani (Rp/Kg);2021;Oktober;Rp4.341
GKP Tingkat Penggilingan (Rp/Kg);2021;Oktober;-
GKG Tingkat Penggilingan (Rp/Kg);2021;Oktober;Rp5.144
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Oktober;Rp8.856
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Oktober;Rp9.984
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Oktober;Rp4.591
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Oktober;Rp8.040
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Oktober;Rp18.917
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Oktober;Rp19.103
Bawang Merah Tk. Petani (Rp/Kg);2021;Oktober;Rp15.673
Sapi Hidup (Rp/kg Berat Hidup);2021;Oktober;Rp48.723
Ayam Ras (Rp/Ekor Hidup);2021;Oktober;Rp21.335
Telur Ayam Ras (Rp/Kg);2021;Oktober;Rp17.888
GKP Tingkat Petani (Rp/Kg);2021;November;Rp4.327
GKP Tingkat Penggilingan (Rp/Kg);2021;November;-
GKG Tingkat Penggilingan (Rp/Kg);2021;November;Rp5.186
Beras Medium Tk. Penggilingan (Rp/Kg);2021;November;Rp8.873
Beras Premium Tk. Penggilingan (Rp/Kg);2021;November;Rp9.984
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;November;Rp4.685
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;November;Rp7.701
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;November;Rp24.554
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;November;Rp18.227
Bawang Merah Tk. Petani (Rp/Kg);2021;November;Rp13.968
Sapi Hidup (Rp/kg Berat Hidup);2021;November;Rp48.898
Ayam Ras (Rp/Ekor Hidup);2021;November;Rp21.359
Telur Ayam Ras (Rp/Kg);2021;November;Rp19.304
GKP Tingkat Petani (Rp/Kg);2021;Desember;Rp4.358
GKP Tingkat Penggilingan (Rp/Kg);2021;Desember;Rp4.787
GKG Tingkat Penggilingan (Rp/Kg);2021;Desember;Rp5.212
Beras Medium Tk. Penggilingan (Rp/Kg);2021;Desember;Rp8.915
Beras Premium Tk. Penggilingan (Rp/Kg);2021;Desember;Rp10.026
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2021;Desember;Rp4.711
Kedelai Biji Kering Tk. Petani (Rp/Kg);2021;Desember;Rp7.698
Cabai Merah Keriting Tk.Petani (rp/Kg);2021;Desember;Rp27.433
Cabai Rawit Merah Tk. Petani (Rp/Kg);2021;Desember;Rp43.197
Bawang Merah Tk. Petani (Rp/Kg);2021;Desember;Rp14.071
Sapi Hidup (Rp/kg Berat Hidup);2021;Desember;Rp48.906
Ayam Ras (Rp/Ekor Hidup);2021;Desember;Rp21.545
Telur Ayam Ras (Rp/Kg);2021;Desember;Rp20.422
GKP Tingkat Petani (Rp/Kg);2022;Januari;Rp4.559
GKP Tingkat Penggilingan (Rp/Kg);2022;Januari;-
GKG Tingkat Penggilingan (Rp/Kg);2022;Januari;Rp5.431
Beras Medium Tk. Penggilingan (Rp/Kg);2022;Januari;Rp9.075
Beras Premium Tk. Penggilingan (Rp/Kg);2022;Januari;Rp10.170
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;Januari;Rp4.551
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;Januari;Rp8.261
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;Januari;Rp17.750
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;Januari;Rp34.651
Bawang Merah Tk. Petani (Rp/Kg);2022;Januari;Rp14.865
Sapi Hidup (Rp/kg Berat Hidup);2022;Januari;Rp48.709
Ayam Ras (Rp/Ekor Hidup);2022;Januari;Rp23.383
Telur Ayam Ras (Rp/Kg);2022;Januari;Rp21.207
GKP Tingkat Petani (Rp/Kg);2022;Februari;Rp4.628
GKP Tingkat Penggilingan (Rp/Kg);2022;Februari;-
GKG Tingkat Penggilingan (Rp/Kg);2022;Februari;Rp5.503
Beras Medium Tk. Penggilingan (Rp/Kg);2022;Februari;Rp9.095
Beras Premium Tk. Penggilingan (Rp/Kg);2022;Februari;Rp10.206
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;Februari;Rp4.537
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;Februari;Rp8.545
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;Februari;Rp20.762
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;Februari;Rp27.161
Bawang Merah Tk. Petani (Rp/Kg);2022;Februari;Rp18.449
Sapi Hidup (Rp/kg Berat Hidup);2022;Februari;Rp48.842
Ayam Ras (Rp/Ekor Hidup);2022;Februari;Rp21.444
Telur Ayam Ras (Rp/Kg);2022;Februari;Rp17.960
GKP Tingkat Petani (Rp/Kg);2022;Maret;Rp4.506
GKP Tingkat Penggilingan (Rp/Kg);2022;Maret;-
GKG Tingkat Penggilingan (Rp/Kg);2022;Maret;Rp5.416
Beras Medium Tk. Penggilingan (Rp/Kg);2022;Maret;Rp9.059
Beras Premium Tk. Penggilingan (Rp/Kg);2022;Maret;Rp10.134
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;Maret;Rp4.549
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;Maret;Rp9.054
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;Maret;Rp31.932
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;Maret;Rp41.450
Bawang Merah Tk. Petani (Rp/Kg);2022;Maret;Rp20.787
Sapi Hidup (Rp/kg Berat Hidup);2022;Maret;Rp49.710
Ayam Ras (Rp/Ekor Hidup);2022;Maret;Rp21.760
Telur Ayam Ras (Rp/Kg);2022;Maret;Rp19.777
GKP Tingkat Petani (Rp/Kg);2022;April;Rp4.387
GKP Tingkat Penggilingan (Rp/Kg);2022;April;Rp1.674
GKG Tingkat Penggilingan (Rp/Kg);2022;April;Rp5.327
Beras Medium Tk. Penggilingan (Rp/Kg);2022;April;Rp8.930
Beras Premium Tk. Penggilingan (Rp/Kg);2022;April;Rp10.066
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;April;Rp4.776
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;April;Rp9.286
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;April;Rp21.724
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;April;Rp26.488
Bawang Merah Tk. Petani (Rp/Kg);2022;April;Rp19.580
Sapi Hidup (Rp/kg Berat Hidup);2022;April;Rp51.483
Ayam Ras (Rp/Ekor Hidup);2022;April;Rp23.317
Telur Ayam Ras (Rp/Kg);2022;April;Rp21.176
GKP Tingkat Petani (Rp/Kg);2022;Mei;Rp4.386
GKP Tingkat Penggilingan (Rp/Kg);2022;Mei;Rp1.677
GKG Tingkat Penggilingan (Rp/Kg);2022;Mei;Rp5.294
Beras Medium Tk. Penggilingan (Rp/Kg);2022;Mei;Rp8.866
Beras Premium Tk. Penggilingan (Rp/Kg);2022;Mei;Rp10.033
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;Mei;Rp4.767
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;Mei;Rp9.294
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;Mei;Rp24.305
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;Mei;Rp23.682
Bawang Merah Tk. Petani (Rp/Kg);2022;Mei;Rp22.187
Sapi Hidup (Rp/kg Berat Hidup);2022;Mei;Rp52.154
Ayam Ras (Rp/Ekor Hidup);2022;Mei;Rp23.621
Telur Ayam Ras (Rp/Kg);2022;Mei;Rp22.605
GKP Tingkat Petani (Rp/Kg);2022;Juni;Rp4.343
GKP Tingkat Penggilingan (Rp/Kg);2022;Juni;-
GKG Tingkat Penggilingan (Rp/Kg);2022;Juni;Rp5.250
Beras Medium Tk. Penggilingan (Rp/Kg);2022;Juni;Rp8.850
Beras Premium Tk. Penggilingan (Rp/Kg);2022;Juni;Rp9.991
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;Juni;Rp4.528
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;Juni;Rp9.482
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;Juni;Rp53.505
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;Juni;Rp58.897
Bawang Merah Tk. Petani (Rp/Kg);2022;Juni;Rp30.991
Sapi Hidup (Rp/kg Berat Hidup);2022;Juni;Rp51.830
Ayam Ras (Rp/Ekor Hidup);2022;Juni;Rp23.214
Telur Ayam Ras (Rp/Kg);2022;Juni;Rp23.692
GKP Tingkat Petani (Rp/Kg);2022;Juli;Rp4.482
GKP Tingkat Penggilingan (Rp/Kg);2022;Juli;-
GKG Tingkat Penggilingan (Rp/Kg);2022;Juli;Rp5.311
Beras Medium Tk. Penggilingan (Rp/Kg);2022;Juli;Rp8.839
Beras Premium Tk. Penggilingan (Rp/Kg);2022;Juli;Rp9.990
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;Juli;Rp4.341
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;Juli;Rp9.704
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;Juli;Rp63.848
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;Juli;Rp57.131
Bawang Merah Tk. Petani (Rp/Kg);2022;Juli;Rp36.747
Sapi Hidup (Rp/kg Berat Hidup);2022;Juli;Rp51.284
Ayam Ras (Rp/Ekor Hidup);2022;Juli;Rp23.486
Telur Ayam Ras (Rp/Kg);2022;Juli;Rp23.955
GKP Tingkat Petani (Rp/Kg);2022;Agustus;Rp4.654
GKP Tingkat Penggilingan (Rp/Kg);2022;Agustus;-
GKG Tingkat Penggilingan (Rp/Kg);2022;Agustus;Rp5.471
Beras Medium Tk. Penggilingan (Rp/Kg);2022;Agustus;Rp8.942
Beras Premium Tk. Penggilingan (Rp/Kg);2022;Agustus;Rp10.065
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;Agustus;Rp4.290
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;Agustus;Rp9.933
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;Agustus;Rp47.229
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;Agustus;Rp35.671
Bawang Merah Tk. Petani (Rp/Kg);2022;Agustus;Rp22.161
Sapi Hidup (Rp/kg Berat Hidup);2022;Agustus;Rp48.634
Ayam Ras (Rp/Ekor Hidup);2022;Agustus;Rp22.310
Telur Ayam Ras (Rp/Kg);2022;Agustus;Rp24.747
GKP Tingkat Petani (Rp/Kg);2022;September;Rp4.811
GKP Tingkat Penggilingan (Rp/Kg);2022;September;-
GKG Tingkat Penggilingan (Rp/Kg);2022;september;Rp5.614
Beras Medium Tk. Penggilingan (Rp/Kg);2022;September;Rp9.222
Beras Premium Tk. Penggilingan (Rp/Kg);2022;September;Rp10.307
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;September;Rp4.153
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;September;Rp9.905
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;September;Rp46.805
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;September;Rp38.882
Bawang Merah Tk. Petani (Rp/Kg);2022;September;Rp20.168
Sapi Hidup (Rp/kg Berat Hidup);2022;September;Rp50.744
Ayam Ras (Rp/Ekor Hidup);2022;September;Rp21.426
Telur Ayam Ras (Rp/Kg);2022;September;Rp23.487
GKP Tingkat Petani (Rp/Kg);2022;Oktober;Rp4.930
GKP Tingkat Penggilingan (Rp/Kg);2022;Oktober;-
GKG Tingkat Penggilingan (Rp/Kg);2022;Oktober;Rp5.724
Beras Medium Tk. Penggilingan (Rp/Kg);2022;Oktober;Rp9.397
Beras Premium Tk. Penggilingan (Rp/Kg);2022;Oktober;Rp10.533
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2022;Oktober;Rp4.105
Kedelai Biji Kering Tk. Petani (Rp/Kg);2022;Oktober;Rp9.835
Cabai Merah Keriting Tk.Petani (rp/Kg);2022;Oktober;Rp29.826
Cabai Rawit Merah Tk. Petani (Rp/Kg);2022;Oktober;Rp32.461
Bawang Merah Tk. Petani (Rp/Kg);2022;Oktober;Rp20.210
Sapi Hidup (Rp/kg Berat Hidup);2022;Oktober;Rp50.950
Ayam Ras (Rp/Ekor Hidup);2022;Oktober;Rp20.590
Telur Ayam Ras (Rp/Kg);2022;Oktober;Rp22.408
